,Age groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over,,,
Place of Birth,Immigrant Stat,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over,,,
Total - Place of birth of respondent,Total - Immigrant Status and Period of Immigration,29522300,5723250,3967500,13392100,2836275,3603180,,,
Total - Place of birth of respondent,  Non-immigrants,23895265,5379605,3451275,10437620,2056880,2569885,,,
Total - Place of birth of respondent,  Immigrants,5436570,316385,468880,2852530,772725,1026050,,,
Total - Place of birth of respondent,    Before 1915,3915,0,0,0,0,3915,,,
Total - Place of birth of respondent,    1916 to 1920,4525,0,0,0,0,4525,,5436565,5627030
Total - Place of birth of respondent,    1921 to 1925,12080,0,0,0,0,12080,,,
Total - Place of birth of respondent,    1926 to 1930,31420,0,0,0,0,31420,,,
Total - Place of birth of respondent,    1931 to 1935,8930,0,0,0,0,8930,,,
Total - Place of birth of respondent,    1936 to 1940,11635,0,0,0,915,10720,,,
Total - Place of birth of respondent,    1941 to 1945,11080,0,0,0,3220,7860,,,
Total - Place of birth of respondent,    1946 to 1950,130000,0,0,11250,28530,90225,,,
Total - Place of birth of respondent,    1951 to 1955,315775,0,0,62400,61220,192155,,,
Total - Place of birth of respondent,    1956 to 1960,363150,0,0,94610,90220,178320,,,
Total - Place of birth of respondent,    1961 to 1965,256770,0,0,89620,87300,79850,,,
Total - Place of birth of respondent,    1966 to 1970,487295,0,0,221915,165710,99675,,,
Total - Place of birth of respondent,    1971 to 1975,511140,0,0,332295,113045,65805,,,
Total - Place of birth of respondent,    1976 to 1980,423015,0,15735,299655,55760,51865,,,
Total - Place of birth of respondent,    1981 to 1985,379430,0,42610,257645,33415,45755,,,
Total - Place of birth of respondent,    1986 to 1990,659860,24715,115505,425595,43205,50845,,,
Total - Place of birth of respondent,    1991 to 1995,865890,87825,147950,516820,53360,59935,,,
Total - Place of birth of respondent,    1996 to 2001,960655,203845,147075,540725,36835,32170,,,
Total - Place of birth of respondent,  Non-permanent residents,190465,27260,47350,101945,6665,7245,,,
  America,Total - Immigrant Status and Period of Immigration,903670,74980,99670,522275,103465,103280,,,
  America,  Non-immigrants,26230,6140,4405,12335,805,2545,,,
