,Age Groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over
Place of birth,Immigrant stat,,,,,,
Total - Place of birth of respondent,Total - Immigrant Status and Period of Immigration,31074400,5562530,4187845,13680920,3631195,4011910
Total - Place of birth of respondent,  Non-immigrants,24651925,5182635,3577975,10445830,2647105,2798375
Total - Place of birth of respondent,  Immigrants,6166770,345405,547525,3092985,975055,1205805
Total - Place of birth of respondent,    Before 1915,1260,0,0,0,0,1260
Total - Place of birth of respondent,    1916 to 1920,2630,0,0,0,0,2630
Total - Place of birth of respondent,    1921 to 1925,8470,0,0,0,0,8470
Total - Place of birth of respondent,    1926 to 1930,23740,0,0,0,0,23740
Total - Place of birth of respondent,    1931 to 1935,8050,0,0,0,0,8050
Total - Place of birth of respondent,    1936 to 1940,9465,0,0,0,0,9465
Total - Place of birth of respondent,    1941 to 1945,11365,0,0,0,3080,8285
Total - Place of birth of respondent,    1946 to 1950,112060,0,0,0,31130,80935
Total - Place of birth of respondent,    1951 to 1955,278065,0,0,14970,76010,187080
Total - Place of birth of respondent,    1956 to 1960,329145,0,0,55370,67435,206340
Total - Place of birth of respondent,    1961 to 1965,243855,0,0,65215,65335,113310
Total - Place of birth of respondent,    1966 to 1970,464010,0,0,145370,174225,144410
Total - Place of birth of respondent,    1970 to 1975,494675,0,0,227405,176070,91205
Total - Place of birth of respondent,    1976 to 1980,406565,0,0,255030,90715,60810
Total - Place of birth of respondent,    1981 to 1985,360450,0,11640,247125,52805,48885
Total - Place of birth of respondent,    1986 to 1990,640440,0,84230,427970,70930,57305
Total - Place of birth of respondent,    1991 to 1995,822225,22530,137920,513250,72870,75655
Total - Place of birth of respondent,    1996 to 2000,843035,99840,146750,506435,49255,40760
Total - Place of birth of respondent,    2001 to 2006,1107270,223040,166980,634845,45205,37200
Total - Place of birth of respondent,  Non-permanent residents,255700,34485,62350,142105,9030,7730
  Americas,Total - Immigrant Status and Period of Immigration,1034640,87390,108400,565795,148040,125005
  Americas,  Non-immigrants,27335,7975,4595,11660,1370,1740
  Americas,  Immigrants,946140,67050,92875,520890,143880,121440
  Americas,    Before 1915,380,0,0,0,0,380
