"","ISO3","AGE_BANDS","inc_band_per100k","WHO_R","sum(LTBP)/sum(NUMP)","sum(LTBP.low)/sum(NUMP)","sum(LTBP.high)/sum(NUMP)"
"1","ABW","0-14","0-49","AMRO",0.0022214047641839,0.00198554225370167,0.00248132635712546
"2","ABW","15-24","0-49","AMRO",0.00546574215849351,0.00502792112464744,0.00597486847379741
"3","ABW","25-54","0-49","AMRO",0.0140821555334882,0.0103618492898033,0.0208629592657138
"4","ABW","55-64","0-49","AMRO",0.0253796380504445,0.0155654448060479,0.0472938146583682
"5","ABW","65+","0-49","AMRO",0.0405343462439691,0.0206362030502733,0.102192742806017
"6","AFG","0-14","100-199","EMRO",0.0368437700312329,0.0332238181252582,0.0411775960209877
"7","AFG","15-24","100-199","EMRO",0.0913848534139584,0.08405779491299,0.0991184482422499
"8","AFG","25-54","100-199","EMRO",0.33526487343686,0.284480978775722,0.390181343002559
"9","AFG","55-64","100-199","EMRO",0.646946189792303,0.539085367224747,0.732585038013368
"10","AFG","65+","100-199","EMRO",0.835409241937841,0.708555257424508,0.929399647799882
"11","AGO","0-14","200+","AFR-Low",0.0433629442725216,0.0385003143951589,0.0489560461807155
"12","AGO","15-24","200+","AFR-Low",0.0926610968099843,0.0846707835447961,0.10163820197698
"13","AGO","25-54","200+","AFR-Low",0.220896424855573,0.172719120370441,0.312679722289324
"14","AGO","55-64","200+","AFR-Low",0.318918288123325,0.202020056466927,0.536281368079939
"15","AGO","65+","200+","AFR-Low",0.379350775961253,0.189364049349018,0.720244655692492
"16","AIA","0-14","0-49","AMRO",NA,NA,NA
"17","AIA","15-24","0-49","AMRO",0.00617673370746744,0.00558601216984677,0.00680170918062206
"18","AIA","25-54","0-49","AMRO",0.0218564406560003,0.0147824590662272,0.037472215265985
"19","AIA","55-64","0-49","AMRO",0.0393627753319205,0.0231304155734947,0.0839156562070146
"20","AIA","65+","0-49","AMRO",0.0683720530175345,0.0334906661660376,0.167184259298087
"21","ALB","0-14","0-49","EURO",0.00283706485476115,0.00250733720832843,0.00319648441404812
"22","ALB","15-24","0-49","EURO",0.00723329002413214,0.00662491865585525,0.00787871293264808
"23","ALB","25-54","0-49","EURO",0.0298011712679829,0.0212140084416684,0.0454246326904043
"24","ALB","55-64","0-49","EURO",0.0653176856205968,0.0365419591406198,0.12734015469878
"25","ALB","65+","0-49","EURO",0.115224093624341,0.0481333980852297,0.280173307941539
"26","AND","0-14","0-49","EURO",0.00200426417529004,0.00176497492435058,0.00226948152636457
"27","AND","15-24","0-49","EURO",NA,NA,NA
"28","AND","25-54","0-49","EURO",0.0621757331296224,0.0383930729732759,0.119166744711393
"29","AND","55-64","0-49","EURO",NA,NA,NA
"30","AND","65+","0-49","EURO",NA,NA,NA
"31","ARE","0-14","0-49","EMRO",0.0012114264776054,0.00106999328563601,0.00139498198292282
"32","ARE","15-24","0-49","EMRO",0.00485491672649186,0.00448558056993373,0.00524750205699555
"33","ARE","25-54","0-49","EMRO",0.046634462312648,0.0276376138770924,0.078465726431453
"34","ARE","55-64","0-49","EMRO",0.212633573524797,0.0970204395733462,0.425449990117216
"35","ARE","65+","0-49","EMRO",NA,NA,NA
"36","ARG","0-14","0-49","AMRO",0.00377570364880379,0.00333739614609174,0.00428024134235913
"37","ARG","15-24","0-49","AMRO",0.012020779169456,0.0109524282938113,0.0133199175120729
"38","ARG","25-54","0-49","AMRO",0.0612111665904097,0.0509502455307403,0.0726727924456703
"39","ARG","55-64","0-49","AMRO",0.149388657349792,0.119883072942618,0.186958072101322
"40","ARG","65+","0-49","AMRO",0.298421067103358,0.212645624362394,0.410281621920282
"41","ARM","0-14","0-49","EURO",0.0101400199278057,0.00892952075547688,0.0113353550841618
"42","ARM","15-24","0-49","EURO",0.0245540427304936,0.0224988530192418,0.0266608354404447
"43","ARM","25-54","0-49","EURO",0.0445386118113591,0.0379034030734943,0.0564883219499841
"44","ARM","55-64","0-49","EURO",0.0474238341350553,0.0344600604915267,0.0780921778489243
"45","ARM","65+","0-49","EURO",0.0577926160530981,0.0389187701517758,0.107467595361188
"46","ASM","0-14","0-49","WPRO",NA,NA,NA
"47","ASM","15-24","0-49","WPRO",NA,NA,NA
"48","ASM","25-54","0-49","WPRO",NA,NA,NA
"49","ASM","55-64","0-49","WPRO",NA,NA,NA
"50","ASM","65+","0-49","WPRO",NA,NA,NA
"51","ATG","0-14","0-49","AMRO",0.00131647836158164,0.00115561744363406,0.00149831887477524
"52","ATG","15-24","0-49","AMRO",0.00304618963491,0.00278585967871645,0.00332875231499319
"53","ATG","25-54","0-49","AMRO",0.00912768616932347,0.00729137963784861,0.0125409630258142
"54","ATG","55-64","0-49","AMRO",0.0173972208404486,0.0118934116145038,0.0318074303362872
"55","ATG","65+","0-49","AMRO",0.0289117406034198,0.0161519168534013,0.0723196798333775
"56","AUS","0-14","0-49","WPRO",0.00154831215258922,0.00136890165825116,0.00175141702149076
"57","AUS","15-24","0-49","WPRO",0.00374639666225139,0.003437505061751,0.00408093210563461
"58","AUS","25-54","0-49","WPRO",0.0101946625042816,0.0079299019421972,0.0145858648207931
"59","AUS","55-64","0-49","WPRO",0.0208223227673402,0.0130601395952158,0.0380531383901977
"60","AUS","65+","0-49","WPRO",0.0401822409528679,0.0198182972953281,0.0932979562672278
"61","AUT","0-14","0-49","EURO",0.00206527331125069,0.00183142637508351,0.00233447307169367
"62","AUT","15-24","0-49","EURO",0.00550696821194205,0.00504863173753947,0.00603980186213558
"63","AUT","25-54","0-49","EURO",0.0294484811131752,0.0193716271616326,0.0539883492133552
"64","AUT","55-64","0-49","EURO",0.0706861855728022,0.0348899516556527,0.165913421843588
"65","AUT","65+","0-49","EURO",0.178929600378944,0.0659727062159725,0.444653579798161
"66","AZE","0-14","50-99","EURO",0.0361498184841882,0.031816887554331,0.0410567884697301
"67","AZE","15-24","50-99","EURO",0.227870502933864,0.207451888963622,0.250424868028303
"68","AZE","25-54","50-99","EURO",0.771821979157875,0.678694991191352,0.822549630391172
"69","AZE","55-64","50-99","EURO",0.999194612723564,0.993655751547204,0.999857683016814
"70","AZE","65+","50-99","EURO",0.99980325325507,0.998521037402392,0.999994743392149
"71","BDI","0-14","100-199","AFR-High",0.0235948942930064,0.0210738209133145,0.0265567798608773
"72","BDI","15-24","100-199","AFR-High",0.0940557145676775,0.0863633036272304,0.101765755382895
"73","BDI","25-54","100-199","AFR-High",0.290010547005398,0.230669175910983,0.378096576606232
"74","BDI","55-64","100-199","AFR-High",0.519267292067177,0.353195191124123,0.772276032202589
"75","BDI","65+","100-199","AFR-High",0.650615188585816,0.407650806738822,0.898201127408807
