"Citizenship (5), Place of Birth (272), Immigrant Status and Period of Immigration (11), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data",,,,,,
Geography = Canada [1],,,,,,
Global non-response rate (GNR) =   5.1 %,,,,,,
Immigrant status and period of immigration (11) = Total - Immigrant status and period of immigration [2],,,,,,
Age (12) =   0 to 14 years,,,,,,
Sex (3) = Total - Sex,,,,,,
Place of birth (272),Total - Citizenship [3],  Canadian citizens [4],    Canadian citizens only,    Citizens of Canada and at least one other country,  Not Canadian citizens [5], 
Total - Place of birth [6],5817050,5545295,5359660,185635,271750,
  Born in Canada,5335515,5335500,5214825,120675,15,
  Born outside Canada,481530,209790,144830,64965,271740,
    Americas,97835,55065,33610,21455,42775,
      North America,53435,33825,19505,14320,19610,
        Greenland,0,0,0,0,0,
        Saint Pierre and Miquelon,0,0,0,0,0,
        United States [7],53435,33825,19500,14320,19610,
      Central America,11995,6280,4485,1795,5715,
        Belize,295,195,140,50,105,
        Costa Rica,365,250,125,135,110,
        El Salvador,1340,570,365,210,765,
        Guatemala,575,290,200,85,285,
        Honduras,675,210,155,55,470,
        Mexico,8365,4555,3325,1230,3805,
        Nicaragua,230,110,100,15,115,
        Panama,150,90,75,10,60,
      Caribbean and Bermuda,15625,6965,5615,1350,8660,
        Anguilla,0,0,0,0,0,
        Antigua and Barbuda,110,55,50,10,55,
        Aruba,10,15,10,0,0,
        Bahamas,205,100,65,25,110,
        Barbados,235,120,85,35,120,
        Bermuda,570,520,425,85,50,
"        Bonaire, Sint Eustatius and Saba",0,0,0,0,0,
        Cayman Islands,325,300,280,20,30,
        Cuba,1435,625,345,275,815,
        Curaçao,25,10,10,0,10,
        Dominica,40,0,0,0,35,
        Dominican Republic,985,445,270,180,535,
        Grenada,115,70,65,10,45,
        Guadeloupe,40,0,10,0,40,
        Haiti,6065,2765,2540,225,3300,
        Jamaica,3660,1115,845,270,2545,
        Martinique,85,60,20,40,20,
        Montserrat,0,0,0,0,0,
        Puerto Rico,60,25,10,15,35,
        Saint Barthélemy,0,0,0,0,0,
        Saint Kitts and Nevis,50,30,25,0,20,
        Saint Lucia,340,105,85,20,235,
        Saint Martin (French part),35,10,10,10,20,
        Saint Vincent and the Grenadines,520,165,140,25,355,
        Sint Maarten (Dutch part),10,0,10,0,10,
        Trinidad and Tobago,660,430,335,95,230,
        Turks and Caicos Islands,20,0,0,0,20,
"        Virgin Islands, British",10,10,0,0,10,
"        Virgin Islands, United States",0,0,0,0,0,
      South America,16785,8000,4010,3985,8790,
        Argentina,775,450,200,250,325,
        Bolivia [8],740,470,350,125,270,
        Brazil,3210,1040,375,660,2170,
        Chile,740,385,200,180,360,
        Colombia,5920,2840,1365,1480,3080,
        Ecuador,660,330,190,135,335,
        Falkland Islands (Malvinas),0,0,10,0,0,
        French Guiana,10,10,0,0,10,
        Guyana,675,410,350,60,260,
        Paraguay,405,285,210,75,120,
        Peru,1470,900,450,450,570,
        South Georgia and the South Sandwich Islands,0,0,0,0,0,
        Suriname,0,0,0,0,0,
        Uruguay,90,65,25,45,25,
        Venezuela [9],2075,810,280,530,1265,
    Europe,68105,30340,16865,13475,37765,
