"","ISO3","TBI.prev.2001","TBI.prev.2006","TBI.prev.2011","TBI.prev.2016"
"1","ABW",0.0274008492078369,0.0311560994678663,0.030976778393839,0.0314859578264395
"2","AFG",0.399663938583577,0.381941800763565,0.361975964556564,0.359975322832667
"3","AGO",0.26500387964925,0.26452095469581,0.240855232519022,0.230588601813942
"4","AIA",0.0618406590397327,0.064318967303899,0.0783950303736919,0.0400280804454192
"5","ALB",0.0445187881632573,0.0395260309005977,0.0383851001311144,0.0380743748723959
"6","AND",0.489742039158897,0.215859172118038,NA,0.0320899986524562
"7","ARE",0.0167757943674155,0.0214691472567432,0.0225623187541686,0.018549677612447
"8","ARG",0.158825546208071,0.133452712830234,0.11937466434211,0.113872751674009
"9","ARM",0.0284107546313393,0.0318726586523283,0.0374399481080375,0.0401414595060972
"10","ASM",0.028109366241573,0.138406048408311,NA,NA
"11","ATG",0.0157769211728473,0.017403494481451,0.0182968283810065,0.0187844227663098
"12","AUS",0.0234585696773259,0.0206285342985876,0.0186162993450142,0.0167948652587861
"13","AUT",0.217429162509721,0.191726750190972,0.148926195940095,0.135488311386246
"14","AZE",0.822993628028364,0.796381357309024,0.724494961376755,0.76151042970828
"15","BDI",0.330668655852138,0.295778706372498,0.278641273323771,0.257890240102375
"16","BEL",0.0969368697167578,0.0864609707554679,0.0709931861923726,0.0630064541405972
"17","BEN",0.323048647845982,0.248810831667352,0.183887725737095,0.168739493540438
"18","BFA",0.0845073814827606,0.0819684571984358,0.0768332944232669,0.0701011146233564
"19","BGD",0.242504663435285,0.248049042843846,0.248456654194036,0.249474850995798
"20","BGR",0.119311886320814,0.102052898294401,0.0920490753908818,0.0882147287351127
"21","BHR",0.0416802409164312,0.0412354714028819,0.0354899873527162,0.0397064440481022
"22","BHS",0.0891350256916035,0.0946044608247808,0.05076435661198,0.0578208553244271
"23","BIH",0.198694822317876,0.186222799201101,0.183955566630244,0.178173239156431
"24","BLR",0.0689521499027913,0.0658116794064019,0.0688084287658693,0.0692755482836454
"25","BLZ",0.0520443757878329,0.0463276159930423,0.0505043765411471,0.03798891345304
"26","BMU",0.0288662045610136,0.0227517690612999,0.0188935715377461,0.0200110005234752
"27","BOL",0.316868310157851,0.249454667450598,0.218243860067405,0.232335493785071
"28","BRA",0.168965392165318,0.151254885684213,0.124197957274665,0.111903765794248
"29","BRB",0.0288553102493414,0.0290466546434218,0.0304408571057845,0.0270808125643048
"30","BRN",0.0626470492477851,0.0625385100659428,0.0611783103141102,0.0647819579818896
"31","BTN",0.971663402499752,0.81021108586585,0.699509231231866,0.767669643641229
"32","BWA",0.30102421416467,0.288180871057267,0.287481512685081,0.286805079022792
"33","CAF",0.772925781855838,0.677151915506094,0.635264115672355,0.470866805012203
"34","CHE",0.109609538677573,0.0976212888829667,0.0813779196786694,0.0741975738851468
"35","CHL",0.159825795485562,0.148849490999772,0.133428318916302,0.119882417953066
"36","CHN",0.407834266968026,0.3746367741267,0.303671168402286,0.27316851564386
"37","CIV",0.489228806044762,0.448431652736732,0.405644166832821,0.336936260116391
"38","CMR",0.211431379968421,0.236931000768904,0.218680641848828,0.212426863849972
"39","COD",0.34635289436083,0.334084944966802,0.318218084545189,0.322284870117724
"40","COG",0.138666136809948,0.170707119279226,0.185495309836019,0.200530448023153
"41","COK",0.0398584786631959,NA,NA,0.0242313266236315
"42","COL",0.11322385087615,0.0944762893007804,0.0848617440704723,0.0786860172945803
"43","COM",0.0897318939330291,0.0728572526492135,0.0803890004365839,0.0784398915003599
"44","CPV",0.403070587961953,0.349906805541547,0.342462376403681,0.324257904708941
"45","CRI",0.084841193528132,0.0910927025596046,0.0737208817673059,0.0649570307205558
"46","CUB",0.174207728720985,0.121244957704819,0.0929543657377225,0.0695641501557739
