"","ISO3","AGE GROUPS","TBI.prev.2001","TBI.prev.2006","TBI.prev.2011","TBI.prev.2016"
"1","ABW","0-14",NA,NA,NA,0.0022214047641839
"2","ABW","15-24",NA,NA,NA,0.00546574215849351
"3","ABW","25-54",0.0211580498093045,0.0178617733311941,0.0164449781312467,0.0140821555334882
"4","ABW","55-64",0.0370668687497488,0.0327865892903007,0.0292316874815366,0.0253796380504445
"5","ABW","65+",0.0535205175556546,0.0485652008039536,0.0436267427640389,0.0405343462439691
"6","AFG","0-14",0.0469568704033212,0.0451048991067152,0.0370500984835027,0.0368437700312329
"7","AFG","15-24",0.178765735031765,0.13895824855712,0.103930817473091,0.0913848534139584
"8","AFG","25-54",0.540847778886387,0.478790353366884,0.400479743623819,0.33526487343686
"9","AFG","55-64",0.829536922471927,0.775752415486672,0.721752539435701,0.646946189792303
"10","AFG","65+",0.94548138574711,0.923301208819319,0.881821059005977,0.835409241937841
"11","AGO","0-14",0.054414081957451,0.0637971834038127,0.0570204599599153,0.0433629442725216
"12","AGO","15-24",0.167420613246603,0.174758977895339,0.126488904863653,0.0926610968099843
"13","AGO","25-54",0.284351214365532,0.287399961513291,0.257040323811915,0.220896424855573
"14","AGO","55-64",0.389630662805979,0.390760580625426,0.314713653034911,0.318918288123325
"15","AGO","65+",0.450408426997727,0.46232284152826,0.445294450188481,0.379350775961253
"16","AIA","0-14",NA,NA,NA,NA
"17","AIA","15-24",NA,NA,NA,0.00617673370746744
"18","AIA","25-54",0.042346145663274,0.0308407170883141,NA,0.0218564406560003
"19","AIA","55-64",0.0697790190620524,0.06113153790756,NA,0.0393627753319205
"20","AIA","65+",0.0984937091077296,0.0889135606779573,0.0783950303736919,0.0683720530175345
"21","ALB","0-14",0.00451728795873675,0.00391441587124724,0.00319222770390411,0.00283706485476115
"22","ALB","15-24",0.0158471215131838,0.0121774630933821,0.00917866991962711,0.00723329002413214
"23","ALB","25-54",0.0514284599468392,0.0431676189405575,0.03571828127022,0.0298011712679829
"24","ALB","55-64",0.104411064045176,0.090492583511745,0.0791263452403835,0.0653176856205968
"25","ALB","65+",0.164151411518491,0.147514813019402,0.131134553336194,0.115224093624341
"26","AND","0-14",NA,NA,NA,0.00200426417529004
"27","AND","15-24",NA,0.0130192898941248,NA,NA
"28","AND","25-54",0.15274374497361,0.114703118425319,NA,0.0621757331296224
"29","AND","55-64",NA,NA,NA,NA
"30","AND","65+",0.826740333344184,0.772745242266469,NA,NA
"31","ARE","0-14",0.0035324003235394,0.00270672903710242,0.00168600886926732,0.0012114264776054
"32","ARE","15-24",0.015139855799171,0.00935871729416476,0.00658813266800675,0.00485491672649186
"33","ARE","25-54",0.182692605690896,0.118211223094753,0.0745770624538514,0.046634462312648
"34","ARE","55-64",NA,NA,0.35498995516209,0.212633573524797
"35","ARE","65+",NA,0.909164054095314,NA,NA
"36","ARG","0-14",0.00686637457645659,0.00655908845994301,0.00510049381239373,0.00377570364880379
"37","ARG","15-24",0.0224870703424553,0.0185321115463239,0.0149174925538535,0.012020779169456
"38","ARG","25-54",0.124227333422838,0.103936946686241,0.081104725531683,0.0612111665904097
"39","ARG","55-64",0.319612099455533,0.247906881796599,0.182047754974998,0.149388657349792
"40","ARG","65+",0.524284459222273,0.479782623738842,0.388419793766452,0.298421067103358
"41","ARM","0-14",0.00799764054585886,0.0111724015749464,0.0122461697163537,0.0101400199278057
"42","ARM","15-24",0.0168628826723595,0.0192415595621335,0.0223059725156009,0.0245540427304936
"43","ARM","25-54",0.0305720508624934,0.0345152368193659,0.0407734497968682,0.0445386118113591
"44","ARM","55-64",0.0410985676696287,0.0457634607332111,0.0487117579595387,0.0474238341350553
"45","ARM","65+",0.0443138508466819,0.0485167461480412,0.0537294072886423,0.0577926160530981
"46","ASM","0-14",0.00303575020521821,NA,NA,NA
"47","ASM","15-24",NA,NA,NA,NA
"48","ASM","25-54",0.0531829822779276,0.0433169763092388,NA,NA
"49","ASM","55-64",NA,NA,NA,NA
"50","ASM","65+",NA,0.233495120507384,NA,NA
"51","ATG","0-14",0.00118416879146563,0.00111748140296059,NA,0.00131647836158164
"52","ATG","15-24",0.00426256740992846,0.00336237147561868,0.003318402207437,0.00304618963491
"53","ATG","25-54",0.0117324638758292,0.0109202708898745,0.00973139114228449,0.00912768616932347
"54","ATG","55-64",0.0216967918259813,0.0207224324047123,0.0193265556142402,0.0173972208404486
"55","ATG","65+",0.028117824610307,0.0270341907826915,0.0300579677945913,0.0289117406034198
"56","AUS","0-14",0.00184284492843053,0.0015947335496706,0.00156016844585604,0.00154831215800022
"57","AUS","15-24",0.00498096197618675,0.00435528568742719,0.00394104326192857,0.00374639665774956
"58","AUS","25-54",0.016200152234414,0.0138135264327988,0.0116591155292977,0.0101946624787785
"59","AUS","55-64",0.0351181679017935,0.0300488252357052,0.0248808409281347,0.0208223227069218
"60","AUS","65+",0.0589810736748996,0.0512675599682403,0.0462545452069673,0.0401822409464334
"61","AUT","0-14",0.00359419214642463,0.00304966430268075,0.00249785172883729,0.00206527331057615
"62","AUT","15-24",0.0108241669463028,0.00781708031637593,0.00587542877227641,0.00550696814848501
